t,S,I,R,Re
0.0,990.0,10.0,0.0,1.98
0.1,989.505,10.245,0.25,1.97901
0.2,988.99812606375,10.49574893625,0.5061249999999999,1.9779962521274999
0.3,988.4791122622706,10.752369014323092,0.7685187234062499,1.9769582245245412
0.4,987.947687653371,11.014984397864737,1.0373279487643272,1.9758953753067419
0.5,987.4035762351006,11.28372120618854,1.3127025587109458,1.974807152470201
0.6,986.846496901489,11.558707509645346,1.5947955888656593,1.973692993802978
0.7,986.2761634007588,11.840073322634336,1.883763276606793,1.9725523268015177
0.8,985.6922842962073,12.127950594120051,2.1797651096726516,1.9713845685924145
0.9,985.0945629299598,12.422473195514536,2.482963874525653,1.9701891258599196
1.0,984.4826973898075,12.7237769057789,2.7935257044135167,1.9689653947796153
1.1,983.8563804793481,13.031999393593795,3.1116201270579893,1.9677127609586964
1.2,983.2152996916586,13.347280196443462,3.437420111897834,1.9664305993833175
1.3,982.5591371867379,13.66976069645311,3.7711021168089207,1.9651182743734759
1.4,981.8875697729651,13.99958409281459,4.1128461342202485,1.9637751395459302
1.5,981.2002688928288,14.336895370630524,4.4628357365406135,1.962400537785658
1.6,980.4969006131913,14.681841266002312,4.821258120806377,1.9609938012263826
1.7,979.7771256203608,15.03457022718276,5.188304152456435,1.9595542512407216
1.8,979.0405992202545,15.39523237160952,5.564168408136004,1.958081198440509
1.9,978.2869713439427,15.763979438631065,5.949049217426242,1.9565739426878854
2.0,977.5158865588754,16.140964737732617,6.343148703392019,1.955031773117751
2.1,976.7269840860994,16.526343092065314,6.746672821835334,1.9534539681721987
2.2,975.9198978237852,16.920270777077935,7.1598313991369675,1.9518397956475704
2.3,975.0942563773893,17.322905454046822,7.5828381685639155,1.9501885127547784
2.4,974.2496830967889,17.73440609829613,8.015910804915086,1.9484993661935774
2.5,973.3857961207301,18.154932921897466,8.459270957372489,1.94677159224146
2.6,972.5022084289451,18.584647290635008,8.913144280419926,1.9450044168578902
2.7,971.5985279022943,19.02371163501991,9.377760462685801,1.9431970558045883
2.8,970.6743573913031,19.47228935513557,9.853353253561298,1.9413487147826063
2.9,969.7292947934665,19.930544719093866,10.340160487439688,1.939458589586933
3.0,968.7629331397017,20.398642754881347,10.838424105417035,1.937525866279403
3.1,967.7748606903373,20.876749135373704,11.348390174289069,1.9355497213806743
3.2,966.7646610410296,21.36503005629703,11.870308902673411,1.933529322082059
3.3,965.7319132390043,21.863652106914973,12.404434654080838,1.9314638264780082
3.4,964.6761919100242,22.37278213322225,12.951025956753712,1.9293523838200481
3.5,963.5970673964887,22.892587093427164,13.510345510084269,1.927194134792977
3.6,962.4941059070715,23.42323390550874,14.082660187419949,1.9249882118141426
3.7,961.3668696783047,23.964889286637764,14.668241035057667,1.922733739356609
3.8,960.2149171485206,24.517719584255925,15.267363267223612,1.920429834297041
3.9,959.0378031445573,25.081890598612876,15.88030625683001,1.9180756062891142
4.0,957.835079081637,25.657567396567845,16.507353521795334,1.9156701581632736
4.1,956.6062931768203,26.244914116470348,17.148792706709532,1.9132125863536402
4.2,955.3509906764352,26.844093763943626,17.80491555962129,1.9107019813528703
4.3,954.0687140978755,27.455267998404768,18.476017903719878,1.9081374281957506
4.4,952.759003486153,28.078596910167178,19.162399603679997,1.9055180069723057
4.5,951.421396685582,28.714238787984012,19.864364526434176,1.9028427933711638
4.6,950.0554296269606,29.362349876905764,20.582220496133775,1.9001108592539209
4.7,948.6606366306025,30.02308412634116,21.31627924305642,1.8973212732612048
4.8,947.2365507255571,30.69659292822808,22.06685634621495,1.894473101451114
4.9,945.782703985339,31.383024845240442,22.834271169420653,1.8915654079706778
5.0,944.2986278804705,32.08252532897796,23.618846790551665,1.888597255760941
5.1,942.7838536481157,32.795236428108225,24.420909923776115,1.8855677072962314
5.2,941.2379126790661,33.521296486455164,25.240790834478823,1.882475825358132
5.3,939.6603369223058,34.26083983105414,26.0788232466402,1.8793206738446113
5.4,938.0506593073612,35.013996450222265,26.935344242416555,1.8761013186147222
5.5,936.4084141846054,35.780891661722535,27.810694153672113,1.8728168283692108
5.6,934.7331377836521,36.56164577113271,28.705216445215175,1.8694662755673042
5.7,933.0243686899428,37.35637372056365,29.619257589493493,1.8660487373798857
5.8,931.2816483395841,38.16518472790828,30.553166932507583,1.8625632966791683
5.9,929.5045215324545,38.988181916840134,31.50729655070529,1.859009043064909
6.0,927.6925369635529,39.82546193782077,32.48200109862629,1.8553850739271058
6.1,925.8452477725108,40.67711458041737,33.47763764707181,1.8516904955450215
6.2,923.9622121111419,41.5432223772758,34.494565511582245,1.8479244242222839
6.3,922.0429937288452,42.423860200140545,35.53314607101414,1.8440859874576907
6.4,920.0871625756216,43.31909484836061,36.593742576017654,1.8401743251512435
6.5,918.094295422403,44.22898463037021,37.67671994722667,1.8361885908448063
6.6,916.0639764983296,45.15357893868436,38.78244456298593,1.8321279529966594
6.7,913.9957981445444,46.09291781900237,39.91128403645304,1.8279915962890891
6.8,911.8893614840049,47.04703153406681,41.063606981928096,1.8237787229680102
6.9,909.744277106739,48.01594012298104,42.23978277027977,1.8194885542134782
7.0,907.5601657698999,48.99965295674561,43.44018127335429,1.8151203315398001
7.1,905.3366591118953,49.99816829083155,44.66517259727293,1.810673318223791
7.2,903.0734003797885,51.01147281566755,45.91512680454372,1.8061468007595773
7.3,900.7700451690872,52.039541205977166,47.19041362493541,1.8015400903381749
7.4,898.4262621749529,53.08233566996207,48.49140215508484,1.796852524349906
7.5,896.0417339537788,54.13980549938703,49.81846054683389,1.7920834679075581
7.6,893.6161576939993,55.21188662168191,51.17195568431857,1.787232315387999
7.7,891.149245994904,56.29850115523507,52.552252849860615,1.7822984919898086
7.8,888.6407276521475,57.39955696911075,53.95971537874149,1.7772814553042953
7.9,886.0903484485503,58.514947248480055,55.39470430296926,1.7721806968971012
8.0,883.4978719487076,59.644550067110764,56.85757798418126,1.7669957438974158
8.1,880.8630802958261,60.78822796831452,58.348691735859035,1.7617261605916528
8.2,878.1857750091314,61.94582755580138,59.868397435066896,1.7563715500182633
8.3,875.4657777800977,63.11717909594002,61.41704312396193,1.750931555560196
8.4,872.7029312656721,64.30209613296716,62.99497260136043,1.7454058625313447
8.5,869.8970998765838,65.50037511873136,64.60252500468461,1.739794199753168
8.6,867.0481705587531,66.71179505859371,66.2400343826529,1.7340963411175068
8.7,864.1560535657409,67.93611717514108,67.90782925911773,1.7283121071314822
8.8,861.2206832201084,69.17308459139504,69.60623218849626,1.7224413664402172
8.9,858.2420186614962,70.42242203522234,71.33555930328114,1.716484037322993
9.0,855.2200445791692,71.68383556666883,73.0961198541617,1.7104400891583391
9.1,852.1547719267226,72.95701232994872,74.88821574332842,1.7043095438534457
9.2,849.0462386165984,74.24162033182414,76.71214105157713,1.6980924772331973
9.3,845.8945101920216,75.53730824810538,78.56818155987274,1.6917890203840436
9.4,842.6996804739339,76.84370525999049,80.45661426607538,1.6853993609478681
9.5,839.4618721804825,78.16042092194208,82.37770689757514,1.6789237443609653
9.6,836.181237516605,79.48704506277093,84.33171742062369,1.6723624750332107
9.7,832.8579587312488,80.82314772155796,86.31889354719296,1.6657159174624983
