beta,seed,peak,deaths,final_inf,final_rec
0.1,42,1,0,0,1
0.1,43,1,0,0,1
0.1,44,1,0,0,1
0.2,42,2,0,0,2
0.2,43,2,0,0,2
0.2,44,1,0,0,1
0.3,42,2,0,0,2
0.3,43,2,0,0,2
0.3,44,897,71,816,13
0.4,42,2,0,0,2
0.4,43,900,83,812,5
0.4,44,900,104,752,44
0.5,42,900,110,789,1
0.5,43,900,100,800,0
0.5,44,899,108,792,0
0.6,42,900,95,787,18
0.6,43,900,116,776,8
0.6,44,900,87,806,7
0.7,42,900,115,686,99
0.7,43,900,108,770,22
0.7,44,900,97,783,20
0.8,42,900,109,681,110
0.8,43,900,127,698,75
0.8,44,900,118,757,25
0.9,42,900,115,785,0
0.9,43,900,121,670,109
0.9,44,900,116,698,86
1.0,42,900,127,773,0
1.0,43,900,115,785,0
1.0,44,900,127,756,17
