time,susceptible,infected,recovered,total
1,899,1,0,900
2,898,2,0,900
3,896,4,0,900
4,894,6,0,900
5,893,7,0,900
6,891,9,0,900
7,883,17,0,900
8,872,28,0,900
9,850,50,0,900
10,824,76,0,900
11,758,142,0,900
12,659,241,0,900
13,496,403,1,900
14,254,645,1,900
15,0,899,1,900
16,0,900,0,900
17,0,900,0,900
18,0,900,0,900
19,0,899,1,900
20,0,896,3,899
21,0,887,12,899
22,0,894,4,898
23,0,863,34,897
24,0,838,57,895
25,0,788,103,891
26,0,775,115,890
27,0,725,163,888
28,0,878,7,885
29,0,885,0,885
30,0,885,0,885
31,0,885,0,885
32,0,885,0,885
33,0,882,3,885
34,0,878,7,885
35,0,876,7,883
36,0,858,25,883
37,0,830,52,882
38,0,808,70,878
39,0,764,112,876
40,0,662,210,872
41,0,838,33,871
42,0,871,0,871
43,0,870,1,871
44,0,871,0,871
45,0,869,1,870
46,0,867,2,869
47,0,860,8,868
48,0,862,6,868
49,0,852,15,867
50,0,830,36,866
51,0,802,61,863
52,0,755,105,860
53,0,656,197,853
54,0,744,103,847
55,0,847,0,847
56,0,847,0,847
57,0,847,0,847
58,0,846,1,847
59,0,846,1,847
60,0,844,3,847
61,0,843,3,846
62,0,835,11,846
63,0,818,27,845
64,0,791,53,844
65,0,762,78,840
66,0,666,169,835
67,0,670,162,832
68,0,832,0,832
69,0,832,0,832
70,0,832,0,832
71,0,832,0,832
72,0,831,1,832
73,0,827,5,832
74,0,830,2,832
75,0,820,12,832
76,0,800,31,831
77,0,785,45,830
78,0,758,68,826
79,0,703,119,822
80,0,625,186,811
81,0,806,4,810
82,0,810,0,810
83,0,810,0,810
84,0,809,1,810
85,0,809,1,810
86,0,806,4,810
87,0,807,3,810
88,0,793,17,810
89,0,791,18,809
90,0,778,30,808
91,0,741,65,806
92,0,676,126,802
93,0,579,216,795
94,0,700,92,792
95,0,792,0,792
96,0,792,0,792
97,0,790,1,791
98,0,788,2,790
99,0,789,1,790
100,0,789,1,790
